"","lat","long","cluster"
"1",-6.23093,38.33523,1
"2",-6.2306,38.3361,1
"3",-6.23023,38.3363,1
"4",-6.23087,38.33658,1
"5",-6.23088,38.33667,1
"6",-6.23096,38.3369,1
"7",-6.2274,38.33711,1
"8",-6.22718,38.33721,1
"9",-6.2312,38.33739,1
"10",-6.22773,38.33751,1
"11",-6.23107,38.3376,1
"12",-6.2259,38.33783,1
"13",-6.22519,38.33945,1
"14",-6.22228,38.34071,1
"15",-6.22247,38.34085,1
"16",-6.22257,38.34128,1
"17",-6.22487,38.34258,1
"18",-6.22222,38.34294,1
"19",-6.22208,38.34404,1
"20",-6.23049,38.34445,1
"21",-6.23047,38.34461,1
"22",-6.23093,38.34518,1
"23",-6.23464,38.34566,1
"24",-6.23453,38.34609,1
"25",-6.22343,38.3476,1
"26",-6.22338,38.34784,1
"27",-6.23168,38.34867,1
"28",-6.23188,38.34888,1
"29",-6.23424,38.35048,1
"30",-6.2344,38.35102,1
"31",-6.38581,38.56495,1
"32",-6.38678,38.5654,1
"33",-6.38674,38.56586,1
"34",-6.3864,38.56594,1
"35",-6.38586,38.56601,1
"36",-6.38683,38.56606,1
"37",-6.38284,38.56685,1
"38",-6.38396,38.56691,1
"39",-6.38396,38.56691,1
"40",-6.3746,38.56833,1
"41",-6.37579,38.56868,1
"42",-6.37589,38.56889,1
"43",-6.37459,38.56897,1
"44",-6.39419,38.56898,1
"45",-6.39286,38.56907,1
"46",-6.37515,38.56911,1
"47",-6.37573,38.56931,1
"48",-6.39359,38.56936,1
"49",-6.37505,38.56974,1
"50",-6.37854,38.56982,1
"51",-6.37758,38.56992,1
"52",-6.37542,38.57031,1
"53",-6.37478,38.57041,1
"54",-6.38535,38.57068,1
"55",-6.37848,38.57077,1
"56",-6.37807,38.57085,1
"57",-6.3853,38.57085,1
"58",-6.37701,38.57113,1
"59",-6.37427,38.57119,1
"60",-6.39552,38.57154,1
"61",-6.3791,38.5717,1
"62",-6.39619,38.57177,1
"63",-6.37988,38.57184,1
"64",-6.37513,38.57224,1
"65",-6.37729,38.57233,1
"66",-6.37762,38.57273,1
"67",-6.37769,38.5728,1
"68",-6.3785,38.57286,1
"69",-6.38212,38.57306,1
"70",-6.37512,38.57326,1
"71",-6.37933,38.5733,1
"72",-6.3751,38.57345,1
"73",-6.37503,38.57351,1
"74",-6.37503,38.57372,1
"75",-6.37652,38.57385,1
"76",-6.38155,38.57408,1
"77",-6.38199,38.57427,1
"78",-6.38172,38.57443,1
"79",-6.38859,38.57481,1
"80",-6.37528,38.57505,1
"81",-6.38145,38.57513,1
"82",-6.381,38.57514,1
"83",-6.38839,38.57526,1
"84",-6.39263,38.57531,1
"85",-6.37621,38.57563,1
"86",-6.38987,38.57589,1
"87",-6.37463,38.57679,1
"88",-6.37398,38.57692,1
"89",-6.38185,38.57704,1
"90",-6.37381,38.57727,1
"91",-6.37375,38.5773,1
"92",-6.38001,38.57732,1
"93",-6.38193,38.57732,1
"94",-6.39478,38.57761,1
"95",-6.37767,38.57767,1
"96",-6.37591,38.57803,1
"97",-6.38027,38.57808,1
"98",-6.37305,38.57808,1
"99",-6.37641,38.57816,1
"100",-6.3742,38.57824,1
"101",-6.37838,38.57828,1
"102",-6.39391,38.57832,1
"103",-6.3733,38.57837,1
"104",-6.37931,38.57839,1
"105",-6.37862,38.57847,1
"106",-6.37521,38.57851,1
"107",-6.37492,38.57863,1
"108",-6.37493,38.57867,1
"109",-6.39389,38.57874,1
"110",-6.37272,38.5788,1
"111",-6.37796,38.57902,1
"112",-6.37295,38.5791,1
"113",-6.37769,38.57933,1
"114",-6.37402,38.57943,1
"115",-6.37402,38.57946,1
"116",-6.37745,38.57948,1
"117",-6.39337,38.57951,1
"118",-6.37431,38.57965,1
"119",-6.37252,38.57973,1
"120",-6.37413,38.57976,1
"121",-6.37381,38.58015,1
"122",-6.38675,38.58067,1
"123",-6.39154,38.58077,1
"124",-6.39173,38.58116,1
"125",-6.39231,38.58244,1
"126",-6.39247,38.58251,1
"127",-6.39245,38.58251,1
"128",-6.39258,38.5831,1
"129",-6.23093,38.33523,1
"130",-6.57168,38.83664,2
"131",-6.57173,38.83707,2
"132",-6.5719,38.83653,2
"133",-6.57277,38.8374,2
"134",-6.57277,38.83741,2
"135",-6.57299,38.83608,2
"136",-6.5748,38.83627,2
"137",-6.57487,38.83826,2
"138",-6.57494,38.83807,2
"139",-6.57496,38.83643,2
"140",-6.57613,38.83659,2
"141",-6.57631,38.83775,2
"142",-6.57699,38.83601,2
"143",-6.57873,38.83728,2
"144",-6.57935,38.83661,2
"145",-6.57985,38.83587,2
"146",-6.58033,38.83885,2
"147",-6.58054,38.83928,2
"148",-6.58055,38.83414,2
"149",-6.58079,38.8357,2
"150",-6.58124,38.84444,2
"151",-6.58158,38.84489,2
"152",-6.58163,38.84385,2
"153",-6.58206,38.84351,2
"154",-6.5821,38.84423,2
"155",-6.58237,38.84557,2
"156",-6.58251,38.84411,2
"157",-6.58277,38.84538,2
"158",-6.583,38.84235,2
"159",-6.58338,38.84283,2
"160",-6.58365,38.84041,2
"161",-6.58411,38.84323,2
"162",-6.58433,38.84499,2
"163",-6.58509,38.84956,2
"164",-6.58551,38.83736,2
"165",-6.5856,38.84383,2
"166",-6.58576,38.84292,2
"167",-6.58578,38.84224,2
"168",-6.58608,38.84939,2
"169",-6.58612,38.8422,2
"170",-6.58628,38.84185,2
"171",-6.58679,38.83965,2
"172",-6.58698,38.83933,2
"173",-6.58726,38.84678,2
"174",-6.58741,38.8404,2
"175",-6.58756,38.84064,2
"176",-6.58756,38.84238,2
"177",-6.58765,38.84246,2
"178",-6.58773,38.84025,2
"179",-6.58787,38.83989,2
"180",-6.58792,38.84133,2
"181",-6.58803,38.82988,2
"182",-6.58804,38.83081,2
"183",-6.58816,38.84938,2
"184",-6.58818,38.85,2
"185",-6.58834,38.83552,2
"186",-6.58849,38.84059,2
"187",-6.58852,38.84854,2
"188",-6.58852,38.84531,2
"189",-6.58853,38.84871,2
"190",-6.58854,38.84067,2
"191",-6.58859,38.8406,2
"192",-6.5886,38.84219,2
"193",-6.58867,38.8502,2
"194",-6.58867,38.8502,2
"195",-6.58867,38.8502,2
"196",-6.58869,38.83988,2
"197",-6.58879,38.84664,2
"198",-6.58886,38.85142,2
"199",-6.58895,38.82992,2
"200",-6.58903,38.84342,2
"201",-6.58904,38.84133,2
"202",-6.58905,38.83211,2
"203",-6.58912,38.84099,2
"204",-6.58912,38.84074,2
"205",-6.58913,38.84035,2
"206",-6.58914,38.8415,2
"207",-6.58914,38.84539,2
"208",-6.58918,38.83999,2
"209",-6.58926,38.82799,2
"210",-6.58933,38.83718,2
"211",-6.58939,38.8389,2
"212",-6.5894,38.84018,2
"213",-6.5894,38.84764,2
"214",-6.58941,38.83701,2
"215",-6.58946,38.83829,2
"216",-6.58953,38.84217,2
"217",-6.58953,38.84217,2
"218",-6.58954,38.84521,2
"219",-6.58957,38.83926,2
"220",-6.58961,38.83846,2
"221",-6.58962,38.83472,2
"222",-6.58968,38.84586,2
"223",-6.58984,38.83576,2
"224",-6.5899,38.83511,2
"225",-6.59001,38.82907,2
"226",-6.59015,38.83466,2
"227",-6.59022,38.84071,2
"228",-6.59025,38.83456,2
"229",-6.5903,38.83435,2
"230",-6.59043,38.84235,2
"231",-6.59051,38.83861,2
"232",-6.59054,38.83725,2
"233",-6.59055,38.83912,2
"234",-6.59056,38.83586,2
"235",-6.5908,38.84481,2
"236",-6.59081,38.84046,2
"237",-6.59084,38.84256,2
"238",-6.59094,38.84195,2
"239",-6.59097,38.84118,2
"240",-6.59098,38.83924,2
"241",-6.59105,38.84105,2
"242",-6.5911,38.83436,2
"243",-6.59145,38.83641,2
"244",-6.59148,38.84427,2
"245",-6.5915,38.83926,2
"246",-6.59151,38.84499,2
"247",-6.59165,38.83679,2
"248",-6.59173,38.8421,2
"249",-6.59207,38.84425,2
"250",-6.5921,38.83239,2
"251",-6.59216,38.84085,2
"252",-6.59265,38.83209,2
"253",-6.59296,38.83251,2
"254",-6.59381,38.84205,2
"255",-6.59404,38.8421,2
"256",-6.59424,38.83956,2
"257",-6.59486,38.82871,2
"258",-6.37509,38.59039,3
"259",-6.36671,38.60234,3
"260",-6.36523,38.59813,3
"261",-6.3645,38.59913,3
"262",-6.36385,38.60202,3
"263",-6.36273,38.60416,3
"264",-6.36257,38.60725,3
"265",-6.3621,38.60415,3
"266",-6.36201,38.60402,3
"267",-6.36105,38.60862,3
"268",-6.36024,38.61117,3
"269",-6.36006,38.61098,3
"270",-6.35932,38.60662,3
"271",-6.35684,38.58917,3
"272",-6.35497,38.60292,3
"273",-6.35387,38.60972,3
"274",-6.35331,38.62936,3
"275",-6.35162,38.60234,3
"276",-6.35131,38.62053,3
"277",-6.35102,38.61983,3
"278",-6.351,38.61748,3
"279",-6.3508,38.61974,3
"280",-6.35074,38.62046,3
"281",-6.3507,38.61945,3
"282",-6.35036,38.62066,3
"283",-6.35014,38.62074,3
"284",-6.34995,38.62738,3
"285",-6.34984,38.62359,3
"286",-6.34961,38.62202,3
"287",-6.34958,38.62223,3
"288",-6.34926,38.6288,3
"289",-6.34921,38.62341,3
"290",-6.34916,38.62614,3
"291",-6.34841,38.61572,3
"292",-6.34794,38.61998,3
"293",-6.34727,38.61579,3
"294",-6.34692,38.61703,3
"295",-6.34663,38.62165,3
"296",-6.34663,38.62571,3
"297",-6.34589,38.6241,3
"298",-6.34578,38.61676,3
"299",-6.34559,38.61645,3
"300",-6.34543,38.61683,3
"301",-6.34539,38.61649,3
"302",-6.34523,38.61536,3
"303",-6.34521,38.60646,3
"304",-6.34516,38.61686,3
"305",-6.34513,38.61873,3
"306",-6.34492,38.61693,3
"307",-6.34492,38.61915,3
"308",-6.34488,38.61654,3
"309",-6.34487,38.62451,3
"310",-6.34477,38.61695,3
"311",-6.34477,38.61617,3
"312",-6.34463,38.61703,3
"313",-6.34456,38.61785,3
"314",-6.34445,38.60022,3
"315",-6.3444,38.61782,3
"316",-6.3443,38.61782,3
"317",-6.34427,38.61781,3
"318",-6.34425,38.6179,3
"319",-6.34425,38.6179,3
"320",-6.34424,38.61745,3
"321",-6.34419,38.61731,3
"322",-6.34401,38.61755,3
"323",-6.34321,38.60853,3
"324",-6.34291,38.6087,3
"325",-6.34288,38.6193,3
"326",-6.34249,38.62019,3
"327",-6.34173,38.62081,3
"328",-6.34079,38.61958,3
"329",-6.33926,38.63588,3
"330",-6.33829,38.64338,3
"331",-6.33812,38.64391,3
"332",-6.33741,38.64603,3
"333",-6.33726,38.64595,3
"334",-6.33668,38.64629,3
"335",-6.33622,38.61856,3
"336",-6.33613,38.65041,3
"337",-6.33611,38.65055,3
"338",-6.33575,38.64552,3
"339",-6.33569,38.65003,3
"340",-6.33533,38.65003,3
"341",-6.33464,38.65053,3
"342",-6.33434,38.64569,3
"343",-6.33434,38.64569,3
"344",-6.334,38.64561,3
"345",-6.33388,38.63746,3
"346",-6.33335,38.651,3
"347",-6.3331,38.65071,3
"348",-6.33308,38.63765,3
"349",-6.33257,38.65069,3
"350",-6.33222,38.63174,3
"351",-6.33212,38.63594,3
"352",-6.33062,38.63689,3
"353",-6.33044,38.6249,3
"354",-6.33028,38.6251,3
"355",-6.33,38.62497,3
"356",-6.32993,38.63854,3
"357",-6.32608,38.64767,3
"358",-6.31991,38.61652,3
"359",-6.31711,38.64535,3
"360",-6.31634,38.64593,3
"361",-6.316,38.64608,3
"362",-6.31491,38.62841,3
"363",-6.31283,38.64288,3
"364",-6.31165,38.64523,3
"365",-6.30493,38.65302,3
"366",-6.30457,38.64497,3
"367",-6.30198,38.64009,3
"368",-6.30084,38.65371,3
"369",-6.30055,38.65779,3
"370",-6.29892,38.65776,3
"371",-6.29701,38.65474,3
"372",-6.29576,38.61928,3
"373",-6.29569,38.65633,3
"374",-6.29386,38.61906,3
"375",-6.2938,38.61908,3
"376",-6.29216,38.64528,3
"377",-6.29048,38.64888,3
"378",-6.28845,38.65003,3
"379",-6.28773,38.65215,3
"380",-6.28716,38.63672,3
"381",-6.2859,38.63519,3
"382",-6.28578,38.65046,3
"383",-6.285,38.63643,3
"384",-6.28344,38.65154,3
"385",-6.28262,38.64419,3
"386",-6.28179,38.64286,3
"387",-6.37156,38.58269,4
"388",-6.37139,38.58286,4
"389",-6.37138,38.58234,4
"390",-6.37137,38.58205,4
"391",-6.37135,38.58292,4
"392",-6.37135,38.58292,4
"393",-6.37118,38.58201,4
"394",-6.37114,38.58231,4
"395",-6.37114,38.58294,4
"396",-6.37102,38.5801,4
"397",-6.37101,38.58225,4
"398",-6.371,38.58307,4
"399",-6.37075,38.58304,4
"400",-6.37068,38.58244,4
"401",-6.37049,38.58262,4
"402",-6.37049,38.58262,4
"403",-6.37048,38.57911,4
"404",-6.37002,38.5817,4
"405",-6.37001,38.58234,4
"406",-6.36981,38.57882,4
"407",-6.36968,38.5821,4
"408",-6.36965,38.58316,4
"409",-6.3696,38.58099,4
"410",-6.36959,38.58321,4
"411",-6.36959,38.58321,4
"412",-6.36952,38.58362,4
"413",-6.36943,38.5831,4
"414",-6.36924,38.57817,4
"415",-6.36807,38.57759,4
"416",-6.36806,38.5775,4
"417",-6.36802,38.57747,4
"418",-6.36763,38.58226,4
"419",-6.36727,38.5789,4
"420",-6.36721,38.57887,4
"421",-6.36706,38.58124,4
"422",-6.36693,38.57857,4
"423",-6.36688,38.58342,4
"424",-6.36681,38.58076,4
"425",-6.36668,38.58179,4
"426",-6.36657,38.58172,4
"427",-6.36641,38.58199,4
"428",-6.36639,38.5794,4
"429",-6.36623,38.57925,4
"430",-6.36619,38.58044,4
"431",-6.36616,38.58125,4
"432",-6.36615,38.58604,4
"433",-6.36614,38.57864,4
"434",-6.36614,38.58142,4
"435",-6.36607,38.58076,4
"436",-6.36603,38.58569,4
"437",-6.36594,38.58083,4
"438",-6.36593,38.58077,4
"439",-6.36592,38.58524,4
"440",-6.3659,38.58537,4
"441",-6.36589,38.58492,4
"442",-6.3656,38.58194,4
"443",-6.36555,38.58105,4
"444",-6.3655,38.58104,4
"445",-6.36535,38.57947,4
"446",-6.36528,38.58057,4
"447",-6.36499,38.58145,4
"448",-6.36496,38.58571,4
"449",-6.36495,38.58122,4
"450",-6.3649,38.5815,4
"451",-6.36479,38.58442,4
"452",-6.3646,38.5811,4
"453",-6.36444,38.58712,4
"454",-6.3644,38.58098,4
"455",-6.36435,38.58505,4
"456",-6.36416,38.5871,4
"457",-6.36406,38.57957,4
"458",-6.36401,38.58701,4
"459",-6.3637,38.58121,4
"460",-6.36314,38.57972,4
"461",-6.36186,38.58039,4
"462",-6.36178,38.5797,4
"463",-6.36163,38.57984,4
"464",-6.36161,38.57944,4
"465",-6.36153,38.57991,4
"466",-6.3615,38.58334,4
"467",-6.36139,38.57931,4
"468",-6.36112,38.57943,4
"469",-6.36108,38.57923,4
"470",-6.36082,38.57788,4
"471",-6.3606,38.57733,4
"472",-6.36059,38.57761,4
"473",-6.36054,38.57757,4
"474",-6.36047,38.57767,4
"475",-6.36045,38.57739,4
"476",-6.36031,38.57915,4
"477",-6.3603,38.58089,4
"478",-6.36028,38.57859,4
"479",-6.36009,38.58005,4
"480",-6.36007,38.58051,4
"481",-6.35983,38.58125,4
"482",-6.35974,38.58127,4
"483",-6.35968,38.58091,4
"484",-6.35964,38.58093,4
"485",-6.35962,38.58146,4
"486",-6.35926,38.57912,4
"487",-6.35921,38.58311,4
"488",-6.35918,38.57877,4
"489",-6.35915,38.57924,4
"490",-6.35913,38.57925,4
"491",-6.35909,38.58213,4
"492",-6.35906,38.57886,4
"493",-6.35906,38.57886,4
"494",-6.35862,38.58187,4
"495",-6.35847,38.58111,4
"496",-6.35828,38.57905,4
"497",-6.35819,38.57853,4
"498",-6.35816,38.57826,4
"499",-6.35813,38.57833,4
"500",-6.35789,38.58187,4
"501",-6.35787,38.58062,4
"502",-6.35751,38.58001,4
"503",-6.35746,38.58259,4
"504",-6.35744,38.57952,4
"505",-6.35743,38.58196,4
"506",-6.35739,38.57956,4
"507",-6.35732,38.58232,4
"508",-6.35731,38.5796,4
"509",-6.3573,38.58007,4
"510",-6.35726,38.58133,4
"511",-6.35723,38.58291,4
"512",-6.35712,38.58097,4
"513",-6.35708,38.583,4
"514",-6.35663,38.57983,4
"515",-6.35596,38.58146,4
"516",-6.37642,38.5824,5
"517",-6.37635,38.58215,5
"518",-6.37624,38.58123,5
"519",-6.37624,38.58444,5
"520",-6.37623,38.58451,5
"521",-6.37618,38.58421,5
"522",-6.37615,38.5844,5
"523",-6.37614,38.58438,5
"524",-6.37612,38.58449,5
"525",-6.37611,38.58242,5
"526",-6.3761,38.58342,5
"527",-6.3761,38.58208,5
"528",-6.37608,38.58408,5
"529",-6.37605,38.58432,5
"530",-6.37604,38.58249,5
"531",-6.37604,38.58188,5
"532",-6.37597,38.58477,5
"533",-6.37596,38.58147,5
"534",-6.37594,38.58183,5
"535",-6.37588,38.58471,5
"536",-6.37587,38.58135,5
"537",-6.37584,38.58422,5
"538",-6.37582,38.58442,5
"539",-6.3758,38.58213,5
"540",-6.3758,38.58213,5
"541",-6.37578,38.58164,5
"542",-6.37574,38.58098,5
"543",-6.37569,38.58082,5
"544",-6.37565,38.58456,5
"545",-6.37564,38.58157,5
"546",-6.37562,38.58368,5
"547",-6.37562,38.5813,5
"548",-6.37561,38.58285,5
"549",-6.37561,38.58064,5
"550",-6.37558,38.58212,5
"551",-6.37557,38.58412,5
"552",-6.37557,38.58412,5
"553",-6.37551,38.58429,5
"554",-6.3755,38.58253,5
"555",-6.3755,38.58387,5
"556",-6.37548,38.58291,5
"557",-6.37548,38.58547,5
"558",-6.37545,38.58353,5
"559",-6.37542,38.58436,5
"560",-6.37538,38.58527,5
"561",-6.37537,38.58269,5
"562",-6.37534,38.5831,5
"563",-6.37532,38.58197,5
"564",-6.37531,38.58419,5
"565",-6.3753,38.58522,5
"566",-6.3753,38.58527,5
"567",-6.37526,38.58221,5
"568",-6.37525,38.58392,5
"569",-6.37525,38.58392,5
"570",-6.37523,38.58532,5
"571",-6.3752,38.58549,5
"572",-6.37519,38.58281,5
"573",-6.37519,38.58281,5
"574",-6.37517,38.58429,5
"575",-6.37516,38.58524,5
"576",-6.37512,38.58197,5
"577",-6.37511,38.58215,5
"578",-6.3751,38.58479,5
"579",-6.37509,38.58549,5
"580",-6.37508,38.58548,5
"581",-6.37508,38.58548,5
"582",-6.37506,38.58353,5
"583",-6.37506,38.58464,5
"584",-6.37506,38.58458,5
"585",-6.37505,38.58287,5
"586",-6.37505,38.58287,5
"587",-6.37505,38.58287,5
"588",-6.37505,38.58295,5
"589",-6.37505,38.58591,5
"590",-6.37505,38.58082,5
"591",-6.37505,38.58082,5
"592",-6.37505,38.58082,5
"593",-6.375,38.58551,5
"594",-6.37497,38.58274,5
"595",-6.37497,38.58569,5
"596",-6.3749,38.58328,5
"597",-6.3749,38.58328,5
"598",-6.3749,38.58585,5
"599",-6.37489,38.58524,5
"600",-6.37486,38.58441,5
"601",-6.37485,38.58381,5
"602",-6.37477,38.5858,5
"603",-6.37475,38.5826,5
"604",-6.37471,38.58533,5
"605",-6.3747,38.58547,5
"606",-6.3747,38.58608,5
"607",-6.37468,38.58445,5
"608",-6.37468,38.58445,5
"609",-6.37468,38.58445,5
"610",-6.37467,38.58355,5
"611",-6.37467,38.58553,5
"612",-6.37466,38.58609,5
"613",-6.37463,38.58427,5
"614",-6.37462,38.58587,5
"615",-6.37462,38.5859,5
"616",-6.37459,38.58286,5
"617",-6.37454,38.58472,5
"618",-6.37452,38.58514,5
"619",-6.37452,38.58551,5
"620",-6.37448,38.58369,5
"621",-6.37448,38.58369,5
"622",-6.37444,38.58411,5
"623",-6.37442,38.58586,5
"624",-6.37439,38.58535,5
"625",-6.37438,38.58616,5
"626",-6.37435,38.58623,5
"627",-6.37431,38.58325,5
"628",-6.37431,38.58352,5
"629",-6.37429,38.58609,5
"630",-6.37429,38.58386,5
"631",-6.37421,38.58485,5
"632",-6.3742,38.5843,5
"633",-6.3742,38.58393,5
"634",-6.37405,38.58557,5
"635",-6.37404,38.58601,5
"636",-6.37404,38.58559,5
"637",-6.37403,38.58583,5
"638",-6.37397,38.58569,5
"639",-6.37394,38.58464,5
"640",-6.37393,38.58422,5
"641",-6.37227,38.5887,6
"642",-6.37211,38.58989,6
"643",-6.37208,38.58851,6
"644",-6.37206,38.58848,6
"645",-6.37192,38.58863,6
"646",-6.3719,38.58841,6
"647",-6.37189,38.58841,6
"648",-6.37189,38.58842,6
"649",-6.37189,38.58865,6
"650",-6.37186,38.58844,6
"651",-6.37186,38.58851,6
"652",-6.37184,38.58843,6
"653",-6.37183,38.58839,6
"654",-6.37175,38.58885,6
"655",-6.37166,38.59014,6
"656",-6.37162,38.58962,6
"657",-6.37158,38.58736,6
"658",-6.37153,38.58765,6
"659",-6.37151,38.59003,6
"660",-6.37149,38.58992,6
"661",-6.37147,38.59033,6
"662",-6.37145,38.58817,6
"663",-6.37145,38.58818,6
"664",-6.3714,38.58988,6
"665",-6.3714,38.58778,6
"666",-6.37128,38.58986,6
"667",-6.37125,38.58984,6
"668",-6.37122,38.59005,6
"669",-6.3712,38.59005,6
"670",-6.37119,38.58817,6
"671",-6.37112,38.58876,6
"672",-6.37103,38.5899,6
"673",-6.37102,38.59063,6
"674",-6.371,38.58885,6
"675",-6.371,38.59066,6
"676",-6.37099,38.58887,6
"677",-6.37098,38.5906,6
"678",-6.37097,38.59094,6
"679",-6.37096,38.59062,6
"680",-6.37096,38.59053,6
"681",-6.37083,38.58907,6
"682",-6.37078,38.58969,6
"683",-6.37075,38.58908,6
"684",-6.37072,38.58844,6
"685",-6.3707,38.58887,6
"686",-6.37067,38.58978,6
"687",-6.37066,38.59183,6
"688",-6.37066,38.59032,6
"689",-6.37065,38.58966,6
"690",-6.37052,38.58775,6
"691",-6.37051,38.58845,6
"692",-6.3705,38.58977,6
"693",-6.3705,38.58975,6
"694",-6.37047,38.58773,6
"695",-6.37045,38.58997,6
"696",-6.37045,38.58797,6
"697",-6.37045,38.59095,6
"698",-6.3704,38.58826,6
"699",-6.37039,38.5887,6
"700",-6.37038,38.59115,6
"701",-6.37037,38.59082,6
"702",-6.37031,38.58817,6
"703",-6.37027,38.5895,6
"704",-6.37026,38.59045,6
"705",-6.37024,38.58659,6
"706",-6.37023,38.59016,6
"707",-6.37023,38.59016,6
"708",-6.3702,38.58753,6
"709",-6.37019,38.59043,6
"710",-6.37019,38.58768,6
"711",-6.37013,38.58995,6
"712",-6.37009,38.58763,6
"713",-6.37008,38.5867,6
"714",-6.37004,38.58967,6
"715",-6.37001,38.58664,6
"716",-6.36997,38.58981,6
"717",-6.36995,38.58723,6
"718",-6.36994,38.59068,6
"719",-6.36993,38.58886,6
"720",-6.36993,38.58886,6
"721",-6.36986,38.58922,6
"722",-6.36983,38.58743,6
"723",-6.36982,38.59076,6
"724",-6.36982,38.5889,6
"725",-6.3698,38.58705,6
"726",-6.36979,38.58976,6
"727",-6.36972,38.58773,6
"728",-6.36968,38.5888,6
"729",-6.36967,38.58877,6
"730",-6.36966,38.58884,6
"731",-6.36964,38.5876,6
"732",-6.36961,38.5891,6
"733",-6.36961,38.58758,6
"734",-6.36959,38.58959,6
"735",-6.36958,38.5883,6
"736",-6.36957,38.5896,6
"737",-6.36953,38.59102,6
"738",-6.36951,38.58936,6
"739",-6.36951,38.58871,6
"740",-6.3694,38.58746,6
"741",-6.36939,38.58735,6
"742",-6.36938,38.5891,6
"743",-6.36936,38.58826,6
"744",-6.36933,38.58906,6
"745",-6.36932,38.58842,6
"746",-6.36931,38.58712,6
"747",-6.3693,38.58938,6
"748",-6.3692,38.58892,6
"749",-6.36914,38.58841,6
