"","x","y","cluster","arm","denom","num"
"1",-0.0714904564752032,-0.387388116459306,1,"control",1,0
"5",-0.0439570603161883,-0.369068116369363,1,"control",1,0
"9",0.0147180759468029,-0.345345476549483,1,"control",1,0
"15",0.0550125334927998,-0.339980171489287,1,"control",1,0
"18",0.0770466883947734,-0.323480902349274,1,"control",1,0
"24",0.111864523008819,-0.314406722179456,1,"control",1,0
"27",0.121017216754808,-0.314444050069369,1,"control",1,1
"29",0.131992932333787,-0.316332049459334,1,"control",1,0
"31",0.135691591523766,-0.307130935039368,1,"control",1,0
"32",0.139397765529793,-0.29608661170937,1,"control",1,1
"34",0.148512874853793,-0.305339977229323,1,"control",1,0
"35",0.150350928641785,-0.303504232619389,1,"control",1,0
"39",0.199918205805773,-0.268684771499466,1,"control",1,0
"54",-0.271019779042206,-0.386572938859445,2,"intervention",1,0
"56",-0.258168291647223,-0.377409263339359,2,"intervention",1,0
"68",-0.157714257912232,-0.433117012909406,2,"intervention",1,0
"81",-0.11744976918618,-0.435124712229481,2,"intervention",1,0
"85",0.3357249499158,0.265300962680612,3,"control",1,0
"91",0.255558272848816,0.357789682190514,3,"control",1,0
"94",0.348365780686777,0.222854970210619,3,"control",2,1
"96",0.357503319253794,0.219131263800591,3,"control",1,1
"98",0.361074229582812,0.196997855930704,3,"control",1,1
"100",0.370091634991809,0.163782832260722,3,"control",1,1
"101",0.377391167062797,0.158223382540655,3,"control",1,1
"104",0.333293590699782,0.117851793610726,3,"control",1,1
"106",0.304193113080771,0.164051339190564,3,"control",1,1
"108",0.264049521586799,0.195550023790702,3,"control",1,1
"111",0.143160404933781,0.177610627510603,3,"control",1,1
"113",0.163717136695766,0.280748195050592,3,"control",1,1
"114",0.165743153193773,0.32866416492061,3,"control",1,0
"115",0.163965283734797,0.341574096980594,3,"control",1,0
"116",0.187942330008809,0.385714036960508,3,"control",1,1
"118",0.367744857148807,0.486359101370681,3,"control",1,1
"119",0.365906846913788,0.484523352890619,3,"control",1,0
"121",0.441610514410797,0.644576636110514,4,"intervention",1,1
"122",0.456637371979809,0.73852056300052,4,"intervention",1,1
"124",0.454972083760765,0.779078585540674,4,"intervention",1,1
"125",0.456817586391765,0.782757543330717,4,"intervention",1,1
"127",0.49720084673379,0.810241613620519,4,"intervention",1,1
"128",0.449728448198812,0.839926808950622,4,"intervention",1,0
"129",0.452698577069782,0.670336799970528,4,"intervention",1,0
"130",0.430317139367787,1.46670705293059,4,"intervention",1,1
"133",0.461995626150781,1.15507057862055,4,"intervention",1,0
"134",0.439429057344796,1.00770346696072,4,"intervention",1,1
"137",0.481950506607802,1.11075154335072,4,"intervention",1,0
"138",0.48924985088081,1.10519208763071,4,"intervention",1,1
"142",0.572138876321787,1.23203785353053,4,"intervention",1,1
"148",0.576070050972817,1.29837840083064,4,"intervention",1,0
"153",0.543054209044783,1.28192374325067,4,"intervention",1,0
"154",0.581906760608774,1.3831435652105,4,"intervention",1,0
"163",0.55509574571181,1.54177125123056,4,"intervention",1,0
"165",0.533190462747768,1.55660641506051,4,"intervention",1,0
"166",0.348328230131813,0.213638931330706,5,"control",1,1
"169",0.368786766243772,0.292814824410698,5,"control",1,1
"170",0.386941673643776,0.25587609816057,5,"control",1,1
"173",0.28741798635582,0.0903901587805649,5,"control",1,1
"174",0.219876686091766,0.136746466010663,5,"control",1,1
"175",0.219884201742786,0.138589674610557,5,"control",1,0
"177",0.205194971155777,0.127590136440631,5,"control",1,1
"180",0.166814253304779,0.142492582340537,5,"control",1,1
"182",0.29819340096077,0.488485828630701,5,"control",2,1
"186",0.411721883802784,0.49723934694066,5,"control",1,1
"190",0.407685438153806,0.405093883200607,5,"control",1,1
"192",0.413214487900802,0.41428755038055,5,"control",1,1
"199",0.477312074685813,0.421399447240674,5,"control",1,1
"201",0.444085298583786,0.353334959470658,5,"control",1,1
"202",0.238955943181793,0.326522312610678,5,"control",1,1
"203",0.374691328926815,0.39416887491052,5,"control",1,0
"206",0.40563718761382,0.351648322010533,5,"control",1,0
"209",0.405554596463787,0.331373039630535,5,"control",1,1
"210",-0.217164933166202,0.249125519480685,6,"intervention",1,0
"212",-0.211680927052214,0.247259851890703,6,"intervention",1,1
"213",-0.202535891511218,0.245379215590674,6,"intervention",1,1
"218",-0.175537804475198,0.132831058810552,6,"intervention",1,1
"223",-0.122686224812185,0.0754745596207158,6,"intervention",1,0
"233",-0.11115329323718,0.209984080270715,6,"intervention",1,0
"234",-0.0926824509732,0.250459922630625,6,"intervention",1,0
"235",-0.0725693949391939,0.244848020860672,6,"intervention",1,0
"237",-0.059718151027198,0.254011726550516,6,"intervention",1,0
"238",-0.0708217140661986,0.224565224450544,6,"intervention",1,0
"240",-0.00135249221619915,0.202162589010641,6,"intervention",1,1
"252",0.0918758853308077,0.170446922460542,6,"intervention",1,1
"259",0.000176969383801406,0.1284267078006,6,"intervention",1,0
"266",0.0439213165788033,0.0821671057906315,6,"intervention",2,0
"267",0.0384297551228201,0.0821895217206929,6,"intervention",1,0
"270",-0.0189711519101934,-0.0779380838193902,7,"control",1,0
"272",0.024938958547807,-0.0836470565293439,7,"control",1,1
"275",0.0305208215557968,-0.0615509540293715,7,"control",1,0
"281",0.0761862296648133,-0.0856994356192899,7,"control",1,0
"284",0.0798623274247916,-0.0820279549293446,7,"control",1,0
"287",0.129248987039773,-0.0914456306093143,7,"control",1,0
"291",0.167705107011784,-0.0879159917294601,7,"control",1,0
"296",0.1933400080718,-0.0861772813193511,7,"control",1,0
"298",0.209889899430777,-0.0678123650893667,7,"control",1,0
"300",0.250199040584789,-0.0587604869992902,7,"control",1,1
"302",0.261287366906799,-0.0330003377694084,7,"control",1,0
"304",0.277784620710804,-0.0275378565893334,7,"control",1,0
"307",0.100238773404783,-0.0231274118893907,8,"intervention",1,1
"311",0.0489840668448096,-0.0229182619693802,8,"intervention",1,0
"318",-0.000394973781226327,-0.01165725721944,8,"intervention",1,1
"320",0.0161173743338168,-0.00250846372932756,8,"intervention",1,1
"321",0.0143094229987923,0.00302863861065816,8,"intervention",1,0
"324",0.019883763324799,0.023281529690621,8,"intervention",1,1
"326",-0.00392056782419559,0.0215354703107096,8,"intervention",2,0
"329",0.043673043626768,0.0213411839506534,8,"intervention",2,0
"331",0.0382717560638071,0.0434821159005878,8,"intervention",1,0
"336",0.120833244917776,0.0892262018305701,8,"intervention",1,1
"337",0.146513149731788,0.102024118370537,8,"intervention",1,0
"342",0.0530438260367987,0.0747569088005093,8,"intervention",1,0
"345",0.371075384471794,0.405243038560684,9,"control",1,0
"347",0.363595650196771,0.366565509530574,9,"control",1,0
"356",0.387227007935792,0.325917985910564,9,"control",1,1
"359",0.427175352831796,0.246496032870709,9,"control",1,0
"360",0.42349181279377,0.240981320900573,9,"control",1,0
"361",0.410610675700809,0.224444641700529,9,"control",1,0
"366",0.418180452735783,0.285240662170509,9,"control",1,0
"371",0.454865669406786,0.303523639620607,9,"control",1,0
"372",0.460409728525804,0.31640372775064,9,"control",1,1
"373",0.462255245727818,0.320082688170714,9,"control",1,0
"380",0.506435007752771,0.38072964848061,9,"control",1,0
"384",0.42550248530182,0.28521084068052,9,"control",1,0
"385",0.458654278503786,0.334843252610654,9,"control",1,0
"389",-0.336616039249179,0.135333077640553,10,"intervention",1,1
"391",-0.342175482957202,0.118766636130658,10,"intervention",1,0
"392",-0.28182859593818,0.103773803040667,10,"intervention",1,0
"393",-0.254740118926236,0.0133441205905456,10,"intervention",1,1
"399",-0.223749289533203,-0.0181177173994911,10,"intervention",1,1
"402",-0.176110387679216,-0.00725299996929607,10,"intervention",1,0
"404",-0.167100881955207,-0.0423114190994056,10,"intervention",1,0
"406",-0.148825731408181,-0.049759068419462,10,"intervention",1,1
"413",-0.108682123457186,-0.0812581904394847,10,"intervention",1,1
"419",-0.148765476041206,-0.0350133802994606,10,"intervention",1,0
"429",-0.331872493205196,-0.495075442689313,11,"control",1,1
"430",-0.357620816468227,-0.524462029579354,11,"control",1,0
"432",-0.383595351868223,-0.609144969899489,11,"control",1,0
"433",-0.407377504574185,-0.605361204769451,11,"control",1,1
"434",-0.462324369539203,-0.612509366899303,11,"control",1,1
"435",-0.487959712875181,-0.614247699049429,11,"control",1,1
"438",-0.669116972999234,-0.5969166309294,11,"control",1,0
"439",-0.68021361579423,-0.624519838049309,11,"control",1,0
"440",-0.703995777538182,-0.620735887509454,11,"control",1,1
"441",-0.354366752662202,-0.624010448919307,11,"control",1,1
"442",-0.348814784631202,-0.609287210389311,11,"control",1,1
"445",-0.328776639746195,-0.633331298579378,11,"control",1,1
"451",-0.182603157523204,-0.700285357099347,11,"control",1,0
"453",-0.245135900461207,-0.77191632054928,11,"control",1,0
"464",-0.463382413333193,0.0234140999605188,12,"intervention",1,1
"466",-0.432248366296221,0.0269731154905912,12,"intervention",1,1
"467",-0.434124168876224,0.0159213311305848,12,"intervention",1,1
"471",-0.416120692588208,-0.0578821211693139,12,"intervention",1,1
"472",-0.392112577237185,-0.00636956191942772,12,"intervention",1,1
"473",-0.386620993948213,-0.00639203718947101,12,"intervention",1,1
"474",-0.397747495485191,-0.0413681286092924,12,"intervention",1,1
"476",-0.384865900079205,-0.0248316557094768,12,"intervention",1,0
"479",-0.478502134309224,-0.0926483732894212,12,"intervention",1,1
"480",-0.463955979306206,-0.116670104589275,12,"intervention",1,0
"482",-0.375969707551235,-0.0875383398492886,12,"intervention",1,0
"485",-0.317453022243228,-0.102523689859481,12,"intervention",1,0
"490",-0.286371673412191,-0.111867027109383,12,"intervention",1,0
"491",-0.273550412170209,-0.110076215979461,12,"intervention",1,1
"494",-0.264360068222231,-0.100897583679398,12,"intervention",1,0
"498",-0.30799124952722,-0.0269894305192793,12,"intervention",1,0
"499",-0.311629686378183,-0.021444818329428,12,"intervention",1,1
"508",-0.235305165648185,-0.158156892779289,13,"control",1,0
"509",-0.233504772121194,-0.165537222099374,13,"control",1,1
"512",-0.226242912652197,-0.180312845829349,13,"control",1,1
"515",-0.2005551587132,-0.165671906139323,13,"control",1,0
"520",-0.160283414601224,-0.165836481769475,13,"control",1,1
"525",-0.121857269473196,-0.169679958899451,13,"control",1,0
"528",-0.0870771335522136,-0.169822023449342,13,"control",1,0
"532",-0.183884499067233,-0.117815747169288,13,"control",1,1
"536",-0.0797550002571938,-0.169851927779291,13,"control",1,0
"537",-0.0706625514652046,-0.184634988999278,13,"control",1,0
"540",-0.0414266900132247,-0.197657054739466,13,"control",1,0
"541",-0.0359576631402092,-0.203209106269469,13,"control",1,0
"545",-0.642454496127186,-0.34450130287928,14,"intervention",1,0
"546",-0.638778298773218,-0.340829877009355,14,"intervention",1,0
"548",-0.638672554119182,-0.315024878329496,14,"intervention",1,0
"551",-0.649451861783234,-0.265213082449463,14,"intervention",10,0
"558",-0.433825182728185,-0.358258379539393,14,"intervention",1,0
"559",-0.422592999312201,-0.297477307759436,14,"intervention",1,0
"564",-0.406238798942184,-0.327036126629309,14,"intervention",1,1
"566",-0.417078745391223,-0.291970143109438,14,"intervention",1,1
"570",-0.157586674245181,0.0461253108405799,15,"control",1,1
"578",-0.157699667684199,0.0184771436706797,15,"control",1,0
"579",-0.154016019931191,0.0239918152706196,15,"control",1,0
"587",-0.104576798692221,0.0274762864405602,15,"control",1,0
"599",-0.104719872506223,-0.00754471786945032,15,"control",1,0
"612",-0.394968951155192,-0.257038991089303,16,"intervention",1,0
"615",-0.354749861937194,-0.270106240869382,16,"intervention",1,0
"617",-0.351073702117219,-0.266434792699329,16,"intervention",1,0
"623",-0.272503686384198,-0.301777721399276,16,"intervention",1,0
"624",-0.272518758168189,-0.30546414467949,16,"intervention",1,0
"625",-0.246974064358199,-0.325844239239359,16,"intervention",1,0
"638",-0.317920447353231,-0.216802839529464,17,"control",1,0
"639",-0.286756092798214,-0.20587083268947,17,"control",1,0
"646",-0.215350111748194,-0.202476277079313,17,"control",1,0
"650",-0.186227252453193,-0.243146624099381,17,"control",1,1
"651",-0.186234784669182,-0.244989835189472,17,"control",1,0
"657",-0.112922944525224,-0.223170455419449,17,"control",1,0
"661",-0.116568958559185,-0.219469079789405,17,"control",1,1
"664",-0.0817887785092353,-0.219611132809405,17,"control",1,1
"666",-0.0580068683842114,-0.223394729349366,17,"control",1,0
"670",-0.0323868951231816,-0.225342573819489,17,"control",1,1
"672",0.0171203111218006,-0.205269013709312,17,"control",1,0
"676",-0.00661644376020831,-0.190426203509332,17,"control",1,0
"683",-0.0755880208101871,-0.494279356429388,18,"intervention",1,0
"689",-0.0681228539792187,-0.45928825823944,18,"intervention",1,0
